x,y,state
36.75,5.37,nonconfident_wrong
14.28,-3.97,nonconfident_wrong
36.74,-5.69,overconfident_wrong
22.01,-0.95,nonconfident_right
31.62,0.67,confident_right
32.91,-7.98,nonconfident_wrong
29.64,7.19,nonconfident_wrong
45.30,1.85,overconfident_wrong
42.57,-1.35,confident_right
28.45,6.92,nonconfident_right
27.99,10.01,overconfident_wrong
47.80,-20.58,confident_right
28.95,-1.76,confident_right
15.53,3.35,nonconfident_right
27.44,-0.42,nonconfident_wrong
48.33,-5.09,confident_right
46.97,-5.69,nonconfident_wrong
48.26,-8.01,confident_right
29.97,6.70,nonconfident_wrong
12.35,-9.11,nonconfident_wrong
54.55,-24.36,confident_right
7.85,12.34,nonconfident_wrong
44.97,-18.14,confident_right
45.89,-22.28,confident_right
43.47,-22.32,confident_right
10.33,7.38,nonconfident_wrong
36.34,5.02,overconfident_wrong
48.17,-12.50,nonconfident_right
43.15,-6.58,confident_right
35.67,4.70,overconfident_wrong
46.37,-10.45,nonconfident_wrong
24.96,-0.63,nonconfident_right
30.33,0.94,nonconfident_wrong
21.47,1.58,confident_right
47.98,-14.17,nonconfident_right
2.95,-0.54,nonconfident_wrong
46.54,-13.40,confident_right
26.62,6.74,nonconfident_right
3.49,11.00,nonconfident_right
28.58,-1.20,nonconfident_wrong
37.80,-3.49,nonconfident_wrong
25.26,-1.58,nonconfident_wrong
43.78,-3.81,confident_right
24.13,10.25,confident_right
58.38,-18.39,nonconfident_wrong
17.86,6.27,nonconfident_right
20.96,-1.01,nonconfident_wrong
25.92,16.56,nonconfident_wrong
28.67,11.95,overconfident_wrong
30.17,12.32,nonconfident_wrong
19.13,7.02,overconfident_wrong
39.52,-6.45,overconfident_wrong
29.19,-6.21,nonconfident_wrong
52.56,-16.27,confident_right
37.65,0.46,nonconfident_right
22.77,-2.08,nonconfident_wrong
40.27,-9.80,overconfident_wrong
42.95,-25.60,nonconfident_right
30.50,2.59,nonconfident_right
27.74,-3.62,nonconfident_right
29.79,-0.77,nonconfident_wrong
41.09,-4.12,nonconfident_right
47.99,-10.72,confident_right
1.86,6.59,nonconfident_right
43.47,-2.05,overconfident_wrong
40.09,-17.94,confident_right
38.79,-0.22,overconfident_wrong
35.90,-11.75,nonconfident_right
41.75,-6.63,nonconfident_wrong
39.38,-11.97,nonconfident_right
38.90,-12.34,nonconfident_wrong
24.71,3.00,confident_right
18.15,-1.84,nonconfident_wrong
48.71,-27.45,confident_right
23.56,-5.28,nonconfident_wrong
35.02,2.76,nonconfident_right
25.47,-6.95,nonconfident_wrong
37.89,-6.34,confident_right
17.51,13.57,nonconfident_right
31.24,6.50,nonconfident_wrong
16.04,0.12,nonconfident_wrong
38.02,3.06,nonconfident_right
27.53,5.25,nonconfident_right
41.59,-10.28,nonconfident_right
0.59,3.15,nonconfident_wrong
39.38,-4.64,overconfident_wrong
25.54,13.98,nonconfident_right
9.44,-11.61,nonconfident_right
38.58,-9.85,nonconfident_wrong
18.48,-0.28,nonconfident_right
38.49,0.23,confident_right
15.01,2.65,nonconfident_right
19.81,2.41,nonconfident_wrong
41.40,3.06,nonconfident_right
36.84,-17.29,overconfident_wrong
46.24,-17.81,confident_right
33.41,-12.36,confident_right
32.53,-0.74,nonconfident_wrong
47.71,-13.06,overconfident_wrong
27.18,-2.55,nonconfident_wrong
42.33,-13.37,confident_right
27.86,-7.82,nonconfident_right
30.63,-10.71,nonconfident_wrong
47.33,-6.26,nonconfident_right
41.61,-1.09,nonconfident_wrong
55.60,-30.23,nonconfident_wrong
37.45,-4.46,nonconfident_right
41.42,1.20,confident_right
3.55,-2.61,nonconfident_wrong
43.55,-1.68,confident_right
41.62,-3.97,nonconfident_wrong
39.88,-9.14,nonconfident_wrong
19.39,-8.52,nonconfident_right
32.21,5.96,overconfident_wrong
8.17,-10.65,nonconfident_right
26.15,11.28,nonconfident_wrong
27.93,-4.29,overconfident_wrong
36.33,-6.15,nonconfident_right
32.13,0.82,overconfident_wrong
42.67,-4.49,nonconfident_right
45.77,-2.95,overconfident_wrong
0.81,1.65,nonconfident_wrong
21.14,7.81,overconfident_wrong
25.78,-0.26,nonconfident_right
13.24,10.99,nonconfident_wrong
39.79,-1.65,confident_right
