x,y,u,v,state,changed
16.61,5.00,1.16,2.34,nonconfident_right,1
12.89,2.48,0.00,0.00,nonconfident_wrong,0
45.63,-21.47,0.25,1.87,nonconfident_wrong,1
45.53,-8.80,-1.57,3.98,nonconfident_right,1
24.55,5.62,-2.05,1.78,confident_right,1
48.99,-12.21,2.27,-2.85,confident_right,1
46.21,-5.97,-4.81,2.28,confident_right,1
40.56,-9.18,5.90,-16.62,nonconfident_wrong,1
35.86,-9.39,0.66,-0.88,nonconfident_wrong,1
40.24,-18.67,-1.61,7.33,overconfident_wrong,1
47.99,-25.34,-0.20,0.27,confident_right,1
38.55,-9.28,11.74,-1.66,nonconfident_wrong,1
42.25,-10.29,-2.02,1.21,nonconfident_wrong,1
0.24,12.11,-2.72,-4.73,nonconfident_wrong,1
46.49,-5.31,-1.85,4.60,confident_right,1
28.10,8.21,-15.97,-3.86,nonconfident_wrong,1
15.00,-18.17,0.57,0.36,nonconfident_right,1
41.53,2.15,-0.23,-6.70,confident_right,1
33.29,0.71,-2.99,2.34,confident_right,1
33.81,1.23,-2.18,-7.40,overconfident_wrong,1
22.48,0.45,0.02,-0.14,nonconfident_wrong,1
27.91,-5.88,-2.90,-0.11,nonconfident_wrong,1
38.91,-15.49,1.24,3.16,nonconfident_wrong,1
18.05,-0.67,2.87,2.92,confident_right,1
35.36,5.87,1.68,-6.60,confident_right,1
39.66,-14.00,-2.25,5.11,nonconfident_right,1
25.98,0.38,0.37,2.75,nonconfident_wrong,1
29.09,-2.02,-2.18,-0.60,nonconfident_right,1
39.75,-2.83,4.51,0.38,confident_right,1
27.84,-1.04,18.64,-24.14,confident_right,1
36.11,-2.15,-3.27,-3.51,nonconfident_right,1
48.69,-6.06,-2.31,2.29,nonconfident_right,1
31.57,-8.18,-3.40,1.76,nonconfident_wrong,1
26.81,-2.48,-4.92,5.17,confident_right,1
29.78,0.21,11.79,-17.54,confident_right,1
24.90,1.77,-2.84,0.20,nonconfident_wrong,1
41.13,0.46,5.27,-8.53,confident_right,1
41.11,-18.19,-7.18,9.55,confident_right,1
45.25,-13.45,-4.63,9.82,overconfident_wrong,1
23.34,10.22,-1.87,1.96,nonconfident_wrong,1
40.46,-0.71,10.62,-20.10,confident_right,1
49.63,-17.27,2.13,-11.83,nonconfident_wrong,1
30.39,-0.66,0.28,-2.09,overconfident_wrong,1
5.80,-4.00,4.19,-2.25,nonconfident_wrong,1
6.89,-10.42,0.00,0.00,nonconfident_wrong,0
15.77,2.37,-17.31,7.64,nonconfident_right,1
50.09,-25.23,-1.86,-3.15,confident_right,1
