x,y,u,v,state,changed
40.23,-6.88,-6.40,0.76,overconfident_wrong,1
45.05,-17.12,-11.15,10.56,confident_right,1
15.01,8.13,2.08,-8.06,nonconfident_right,1
12.84,2.50,-0.09,-0.43,nonconfident_wrong,1
45.73,-21.53,-0.44,0.33,nonconfident_wrong,1
45.50,-8.73,-2.24,0.47,nonconfident_right,1
20.37,7.75,1.17,2.22,confident_right,1
48.61,-11.27,5.92,-8.69,confident_right,1
46.22,-5.95,-0.14,-0.28,confident_right,1
40.57,-9.15,6.45,-16.63,nonconfident_wrong,1
35.83,-9.37,-0.75,0.38,nonconfident_wrong,1
40.25,-18.67,-4.52,13.83,nonconfident_wrong,1
47.95,-25.33,0.29,0.65,confident_right,1
51.82,-22.94,-5.74,13.38,nonconfident_wrong,1
40.34,-8.97,-1.95,-5.50,nonconfident_wrong,1
-0.40,12.70,1.89,-8.46,nonconfident_wrong,1
46.31,-5.25,-0.68,0.29,confident_right,1
28.77,7.62,3.55,-5.18,nonconfident_wrong,1
14.94,-18.10,-0.49,1.25,nonconfident_right,1
41.76,2.03,1.21,-2.19,confident_right,1
33.16,0.74,-3.68,3.62,confident_right,1
33.76,1.24,2.81,-6.59,confident_right,1
21.96,2.13,0.81,-0.92,nonconfident_wrong,1
25.09,-5.84,-0.43,1.99,nonconfident_wrong,1
37.74,-4.00,5.16,-10.50,nonconfident_wrong,1
18.00,-0.62,2.66,-0.85,confident_right,1
34.07,5.88,-1.58,0.40,nonconfident_wrong,1
31.12,-3.34,8.35,-5.31,confident_right,1
29.76,-1.00,-5.04,2.99,nonconfident_wrong,1
26.41,-1.70,6.99,-9.68,overconfident_wrong,1
39.57,-2.01,-0.35,-0.84,confident_right,1
27.80,-0.93,19.32,-22.54,confident_right,1
36.11,-2.16,-0.38,-0.21,nonconfident_right,1
48.68,-6.03,0.10,0.22,confident_right,1
31.53,-8.10,-0.56,0.07,nonconfident_right,1
20.45,1.58,2.73,2.34,confident_right,1
29.75,0.26,-5.48,3.92,confident_right,1
24.87,2.02,-0.16,0.09,nonconfident_right,1
40.94,1.12,7.50,-8.49,confident_right,1
33.02,-5.48,-1.98,1.94,confident_right,1
39.37,-1.96,4.70,-3.25,overconfident_wrong,1
22.69,9.87,2.88,-1.77,nonconfident_wrong,1
40.90,-4.41,10.83,-15.91,confident_right,1
49.88,-17.75,-2.42,2.42,nonconfident_wrong,1
31.65,-0.82,-1.32,0.37,overconfident_wrong,1
10.35,-5.31,-5.89,3.30,nonconfident_wrong,1
6.89,-10.46,-8.83,9.59,nonconfident_wrong,1
15.77,2.38,7.88,-14.73,nonconfident_right,1
50.25,-25.64,0.00,0.00,confident_right,0
